x,蔬菜,水果,其他農作物,豬,其他畜牧產品,農事服務,林產品,漁產品,砂、石及其他礦產品,屠宰生肉,肉類其他加工及保藏品,蔬果加工及保藏品,動植物油脂,乳品,製粉,動物飼品,烘焙炊蒸食品、巧克力及糖果,糖,調味品,其他食品,酒精飲料,非酒精飲料,菸草,棉、毛、絲麻紡紗及織布,人造纖維紡紗及織布,針織布,不織布,印染整理,其他紡織品,成衣,服飾品,皮革,鞋類製品,其他皮革製品,製材,合板及組合木材,其他木竹製品,紙漿、紙及紙板,其他紙製品,印刷及資料儲存媒體複製,石油煉製品,焦炭及其他煤製品,基本化學材料,石油化工原料,肥料及氮化合物,塑膠原料,合成橡膠原料,合成纖維原料,其他人造纖維,農藥及環境用藥,塗料、染料及顏料,清潔用品及化粧品,未分類其他化學製品,藥品及醫用化學製品,橡膠製品,塑膠製品,玻璃及其製品,陶瓷製品,水泥,水泥製品,其他非金屬礦物製品,生鐵及粗鋼,鋼鐵初級製品,鋁,其他基本金屬,金屬刀具、手工具及模具,金屬結構及建築組件,金屬容器,金屬加工,其他金屬製品,半導體,被動電子元件,印刷電路板,光電材料及元件,其他電子零組件,電腦,電腦週邊設備,通訊傳播設備,視聽電子產品,資料儲存媒體,量測、導航、控制設備及鐘錶,輻射及電子醫學設備、光學儀器,發電、輸電及配電機械,電池,電線及配線器材,照明設備及配備,家用電器,其他電力設備及配備,金屬加工用機械設備,其他專用機械設備,通用機械設備,汽車及其零件,船舶及浮動設施,機車及其零件,自行車及其零件,未分類其他運輸工具及其零件,非金屬家具,金屬家具,育樂用品,未分類其他製品,產業用機械設備修配及安裝,電力及蒸汽,燃氣,自來水,廢水及污水處理,廢棄物清除、處理,資源回收處理,住宅工程,其他房屋工程,公共工程,其他營造工程,商品批發經紀,批發,零售,軌道車輛運輸,其他陸上運輸,水上運輸,航空運輸,運輸輔助,倉儲,郵政及快遞,住宿,餐飲,出版品,影片及音樂發行,廣播、電視節目編排及傳播,電信,電腦程式設計、諮詢及相關服務,資訊服務,金融服務,保險,證券期貨及金融輔助,不動產開發,不動產經營及相關服務,住宅服務,法律及會計服務,建築、工程服務及技術檢測、分析服務,研究發展服務,廣告及市場研究,專門設計,其他專業及技術服務,租賃,人力仲介及供應,旅行及相關服務,保全及偵探,建築物及綠化服務,行政支援服務,公共行政及國防；強制性社會安全,教育,醫療保健,社會工作服務,藝術、娛樂及休閒服務,人民團體及其他社會服務,汽車維修及美容,其他維修,家事服務,其他未分類服務,中間需要合計,民間消費,政府消費,固定資本形成,存貨變動,商品及服務輸出,最終需要合計,總需要∥總供給,國內生產總額,商品及服務輸入,進口稅淨額,商業加價,國內運費,加值型營業稅
印染整理,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3650 ,13780 ,6967 ,272 ,3551 ,2358 ,3186 ,269 ,0 ,196 ,111 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,875 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,192 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,247 ,156 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,35817 ,0 ,0 ,0 ,0 ,0 ,0 ,35817 ,35814 ,0 ,0 ,0 ,0 ,3 
其他化學材料,43 ,109 ,49 ,0 ,0 ,0 ,2 ,15 ,0 ,0 ,3 ,10 ,0 ,0 ,77 ,754 ,16 ,5 ,91 ,222 ,500 ,274 ,1 ,1 ,142 ,4 ,8 ,94 ,5 ,0 ,2 ,22 ,24 ,0 ,0 ,11 ,0 ,1364 ,410 ,102 ,71 ,1 ,20491 ,4142 ,3785 ,3272 ,711 ,304 ,257 ,231 ,4097 ,2534 ,17730 ,1047 ,884 ,3086 ,2268 ,286 ,85 ,19 ,3151 ,672 ,1978 ,869 ,5979 ,17 ,88 ,25 ,6892 ,295 ,26 ,1832 ,6547 ,2736 ,215 ,1 ,24 ,259 ,0 ,33 ,6 ,4 ,0 ,1255 ,2 ,100 ,13 ,361 ,1 ,21 ,7 ,230 ,2 ,28 ,4 ,0 ,33 ,8 ,304 ,116 ,40 ,60 ,0 ,287 ,0 ,0 ,0 ,0 ,0 ,0 ,40 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,9 ,32 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,356 ,3774 ,0 ,0 ,159 ,18 ,0 ,0 ,0 ,54 ,2 ,251 ,2096 ,6604 ,0 ,3 ,0 ,0 ,0 ,0 ,2 ,117586 ,18 ,0 ,0 ,-155 ,44314 ,44177 ,161763 ,53694 ,83664 ,1243 ,19984 ,2437 ,741 
ＰＴＡ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2609 ,0 ,35705 ,0 ,14809 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,155 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,53278 ,0 ,0 ,0 ,-164 ,3877 ,3713 ,56991 ,56371 ,0 ,0 ,506 ,114 ,0 
其他石油化工原料,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,3 ,98 ,0 ,4 ,90 ,0 ,0 ,0 ,14 ,0 ,0 ,0 ,28 ,331 ,23 ,23 ,344 ,120 ,0 ,0 ,27 ,35 ,0 ,72 ,167 ,0 ,995 ,553 ,1854 ,7856 ,0 ,5861 ,134072 ,246 ,72899 ,3445 ,3024 ,183 ,333 ,6513 ,5414 ,24578 ,3689 ,3746 ,17394 ,29 ,0 ,189 ,0 ,229 ,936 ,837 ,37 ,590 ,39 ,304 ,41 ,1157 ,266 ,78 ,79 ,127 ,0 ,27 ,0 ,40 ,1 ,1 ,84 ,0 ,0 ,0 ,25 ,38 ,6 ,5 ,314 ,65 ,150 ,170 ,333 ,41 ,1 ,0 ,1 ,0 ,6 ,13 ,29 ,74 ,279 ,0 ,0 ,0 ,3 ,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,517 ,1551 ,0 ,0 ,103 ,0 ,0 ,0 ,0 ,1 ,0 ,4 ,8 ,0 ,0 ,0 ,0 ,40 ,37 ,0 ,27 ,302998 ,0 ,0 ,0 ,-1693 ,155536 ,153843 ,456841 ,269501 ,171230 ,1930 ,12634 ,1507 ,39 
其他塑膠原料,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,137 ,38 ,1 ,38 ,0 ,0 ,0 ,0 ,43 ,0 ,11 ,1290 ,6 ,477 ,469 ,1531 ,13 ,3 ,30 ,1601 ,78 ,1 ,499 ,38 ,0 ,2411 ,508 ,0 ,0 ,121 ,984 ,1 ,25153 ,378 ,11978 ,0 ,0 ,7028 ,0 ,7935 ,0 ,589 ,36983 ,202 ,34 ,0 ,36 ,222 ,0 ,574 ,21 ,88 ,885 ,133 ,405 ,111 ,380 ,1897 ,84 ,412 ,15493 ,1651 ,6599 ,556 ,96 ,8 ,3565 ,274 ,1153 ,225 ,99 ,623 ,104 ,915 ,382 ,33 ,766 ,1153 ,3779 ,357 ,627 ,372 ,8 ,283 ,142 ,1349 ,2080 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,98 ,113 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1361 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,150166 ,0 ,0 ,0 ,-3772 ,121750 ,117978 ,268144 ,181023 ,65430 ,961 ,19682 ,1148 ,-100 
染料、顏料及油墨,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1098 ,1565 ,1081 ,130 ,5931 ,392 ,235 ,7 ,119 ,101 ,41 ,2 ,69 ,0 ,82 ,1545 ,7975 ,38 ,0 ,13 ,0 ,1 ,584 ,1 ,36 ,0 ,0 ,7722 ,196 ,4761 ,14 ,115 ,3393 ,31 ,62 ,36 ,6 ,1122 ,0 ,128 ,261 ,7 ,0 ,77 ,108 ,304 ,138 ,72 ,194 ,6826 ,49 ,179 ,0 ,5 ,20 ,1 ,261 ,11 ,41 ,0 ,0 ,3 ,4 ,2 ,6 ,0 ,15 ,15 ,0 ,0 ,2 ,0 ,0 ,26 ,102 ,630 ,192 ,16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1754 ,25 ,157 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,142 ,0 ,0 ,0 ,218 ,1760 ,6 ,58 ,0 ,0 ,0 ,0 ,0 ,73 ,93 ,186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52681 ,431 ,0 ,0 ,36 ,18567 ,19034 ,71715 ,27412 ,31798 ,610 ,11416 ,427 ,52 
其他基本金屬及其鑄造品,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,3 ,16 ,0 ,0 ,0 ,0 ,2 ,24 ,0 ,0 ,12249 ,22 ,21 ,0 ,0 ,0 ,28 ,0 ,368 ,0 ,17404 ,0 ,41 ,0 ,828 ,27 ,7 ,0 ,29 ,264 ,37540 ,3232 ,53963 ,6032 ,1405 ,15 ,5146 ,5726 ,20908 ,1268 ,4193 ,4493 ,98 ,71 ,199 ,448 ,46 ,541 ,598 ,87 ,230 ,3250 ,1181 ,494 ,8 ,2582 ,115 ,502 ,2518 ,610 ,166 ,846 ,127 ,1486 ,11 ,679 ,1580 ,3336 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,80 ,0 ,45 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2689 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,4 ,0 ,157 ,22 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,200111 ,0 ,0 ,0 ,908 ,58968 ,59876 ,259987 ,79195 ,146398 ,159 ,32747 ,1373 ,115 
其他基本金屬廢品,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,756 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,0 ,0 ,0 ,27 ,12 ,245 ,0 ,27627 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,299 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,278 ,8216 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,112 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,37610 ,0 ,0 ,0 ,107 ,10185 ,10292 ,47902 ,6578 ,25632 ,41 ,15434 ,209 ,8 
記憶體,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,26745 ,0 ,0 ,706 ,65278 ,39389 ,11747 ,5714 ,664 ,0 ,2831 ,171 ,1 ,19 ,0 ,0 ,89 ,267 ,6 ,130 ,8 ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,78 ,155 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,41 ,2264 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,156392 ,0 ,0 ,0 ,-3171 ,147061 ,143890 ,300282 ,178561 ,110693 ,5 ,10134 ,857 ,32 
